instance_id,fidelity_score,sign_match_score,clarity_score,coverage_topk,shap_conservation_valid,shap_conservation_error,jaccard_score,spearman_correlation,ranking_stability,dataset,method
breast_cancer_shap_0,0.7,0.4,91.80379746835443,40.0,False,0.07999999999999996,1.0,1.0,1.0,breast_cancer,shap
breast_cancer_shap_1,0.5,0.0,93.13492063492063,0.0,True,1.6653345369377348e-16,1.0,1.0,1.0,breast_cancer,shap
breast_cancer_lime_1,0.5,0.0,93.11403508771929,0.0,True,1.6653345369377348e-16,1.0,1.0,1.0,breast_cancer,lime
breast_cancer_lime_0,0.6,0.2,92.62987012987013,20.0,False,0.07999999999999996,1.0,1.0,1.0,breast_cancer,lime
